Feature,Value,Min,Max,Distance_from_Min_%,Distance_from_Max_%,Near_Boundary
pressure_bar,55.0,55.0,70.0,0.0,99.99999999999334,True
feed_flow_m3_h,1000.0,200.0,1000.0,99.99999999999987,0.0,True
salinity_g_L,42.0,34.0,42.0,99.9999999999875,0.0,True
temperature_C,15.0,15.0,30.0,0.0,99.99999999999334,True
recovery_rate_target,0.45,0.3,0.45,99.99999999933333,0.0,True
pump_efficiency,0.8999909544068578,0.7500012648316956,0.8999909544068578,99.99999999933328,0.0,True
erd_efficiency,0.9599503803817664,0.8000432195770765,0.9599503803817664,99.99999999937464,0.0,True
membrane_condition,0.7500325028176991,0.7500325028176991,0.9999687747853234,0.0,99.9999999995999,True
