Feature,Global_Optimum,Observed_Min,Observed_Max,Inside_Observed_Domain
pressure_bar,55.0,55.00017452133049,69.99576509929196,False
feed_flow_m3_h,1000.0,200.12619566244535,999.9398614665412,False
salinity_g_L,42.0,34.00038499115449,41.999207816073856,False
temperature_C,15.0,15.00008305013607,29.99684057718893,False
recovery_rate_target,0.45,0.3000025104386902,0.4499958221051974,False
pump_efficiency,0.8999909544068578,0.7500012648316956,0.8999909544068578,True
erd_efficiency,0.9599503803817664,0.8000432195770765,0.9599503803817664,True
membrane_condition,0.7500325028176991,0.7500325028176991,0.9999687747853234,True
