scenario,W_SEC,W_CONSISTENCY,W_DOMAIN,W_RISK,optimization_success,objective,SEC_ML,SEC_empirical_local,ML_local_abs_error,Mahalanobis,SEC_P95,Mahalanobis_exceedance
energie_prioritaire,0.7,0.15,0.05,0.1,False,0.6021722267271665,2.6989365886955583,2.7481685818431014,0.04923199314754312,2.3113342071677216,2.8350953897890805,0.0
equilibre,0.45,0.3,0.1,0.15,False,0.45090279045303755,2.8067949876987157,2.8075901955245386,0.0007952078258228745,1.9971220133336531,2.9465446311870958,0.0
physique_prioritaire,0.25,0.55,0.1,0.1,False,0.2753502156617811,2.9147169998527227,2.91471699386854,5.984182482876577e-09,1.5219717345178392,3.062911993640634,0.0
