Feature,Reference,Global_Optimum,Delta
pressure_bar,62.38792926051099,55.0,-7.387929260510987
feed_flow_m3_h,604.7174212083436,1000.0,395.2825787916564
salinity_g_L,38.016544757285565,42.0,3.9834552427144345
temperature_C,22.500453590491755,15.0,-7.500453590491755
recovery_rate_target,0.3740575788379918,0.45,0.07594242116200822
pump_efficiency,0.8259135583201969,0.8999909544068578,0.07407739608666097
erd_efficiency,0.880673511292049,0.9599503803817664,0.07927686908971743
membrane_condition,0.8748078594206619,0.7500325028176991,-0.1247753566029628
