configuration,SEC_base,Mahalanobis,SEC_mean_MC,SEC_P05_MC,SEC_P95_MC,SEC_std_MC,P95_Mahalanobis,gain_SEC_base_pct,gain_SEC_mean_MC_pct,gain_SEC_P95_MC_pct
Reference médiane,3.5558006128578072,0.020528613198552214,3.56031608888216,3.3773122566900033,3.751329114632608,0.1137068296784347,0.8502938736715182,0.0,0.0,0.0
Optimum ML contraint,2.271918761708473,3.758596725872275,2.334245158866132,2.271752448695823,2.4258956969443664,0.04910231341149046,3.8432055985172666,36.10668850516549,34.43713702400452,35.33236826697489
Optimum robuste,2.272185257041266,3.7584341783935162,2.333935914579925,2.2715897638403417,2.427050405512215,0.049292778822181714,3.836556157522659,36.09919384048072,34.44582289004806,35.3015869483392
