Feature,Optimized,Observed_Min,Observed_Max,Inside_Observed_Range
pressure_bar,-1.6701286803464304,-1.7096263223419073,1.76085756866482,True
feed_flow_m3_h,1.6776849987842843,-1.7413270722810683,1.7063945387749109,True
salinity_g_L,1.7135084518883814,-1.7359273720310422,1.7421770356314703,True
temperature_C,-1.6917431869230282,-1.7207542765573296,1.7339823259831604,True
recovery_rate_target,1.718569327355635,-1.7193355684069784,1.7473551998231842,True
pump_efficiency,1.6899207225079234,-1.742755651098404,1.7236018040167385,True
erd_efficiency,1.695859572593292,-1.7417925613379313,1.72783352017199,True
membrane_condition,-1.7147060720537015,-1.7438989868053778,1.753002120330141,True
